source,target,weight
20372,14793,2
20372,16008,2
27533,14314,3
20768,16011,1
27544,9216,1
26415,13107,0
26019,16008,3
12527,16034,1
12417,15923,1
27567,16034,5
27432,16027,1
21608,16036,0
27581,16049,4
21044,16048,0
23305,16055,1
27250,16040,1
27551,15864,2
27551,11747,2
13727,16062,8
27613,989,-1
836,16066,6
14675,16066,6
8820,16066,2
21608,16070,3
27627,16071,2
836,16060,8
27250,16062,5
27632,16078,1
27632,16078,0
27632,16073,0
12527,16060,11
27581,16076,1
8560,8054,2
26562,16087,5
8560,15832,0
8560,15974,2
23305,16088,1
8560,16087,3
2975,16088,5
13002,16069,2
9728,16073,0
21608,16099,1
13727,16078,1
13002,16023,0
13002,16021,0
21608,16107,1
20354,14222,0
21608,16110,0
8517,11940,0
18416,15535,1
19161,16117,1
27432,11940,0
27432,14964,0
27250,16122,0
21608,16128,2
21608,16124,1
21608,16131,0
24742,16107,0
17618,11043,2
27432,16131,0
27426,16131,1
24996,16119,2
27551,16119,1
8820,16140,3
23305,16140,5
27632,16128,0
27632,16115,1
924,16087,1
27702,352,0
21608,16150,1
25174,16122,0
27712,16155,1
8820,16165,0
26050,15662,2
599,16165,2
599,15662,1
26050,16143,1
21749,16176,5
27450,15984,0
26596,11159,0
26596,11721,1
26596,11750,1
26596,14527,0
27426,16191,0
27760,11721,1
5091,11729,0
27551,16154,0
27551,16114,1
27003,11721,0
21024,16182,1
14904,16182,0
27551,16206,1
27780,16206,4
27632,10695,1
27632,16177,1
27632,16104,0
20933,16098,0
20933,15962,1
25295,16218,1
21608,16207,0
9123,16225,2
27827,14065,1
471,16231,1
21608,16235,1
27426,16128,4
27432,16243,3
24945,16243,2
26917,16219,2
21608,16247,2
13727,16251,7
924,16237,1
27760,6318,0
924,16251,5
21024,16252,0
836,16246,7
2576,16159,1
27724,16186,0
27632,16232,2
19263,16229,0
26394,16265,6
21608,16268,1
21608,16261,1
26050,16272,5
8878,11131,0
8878,15140,2
21262,16266,2
27900,8941,0
21608,16266,1
21024,16280,0
27760,8941,1
12341,15697,1
24996,16285,3
14675,16297,1
19255,16179,0
21,16295,6
18416,16298,1
836,16295,4
27250,15699,0
8820,16298,2
18626,14346,1
18626,15878,1
381,16315,0
16853,16315,1
9123,16317,2
26394,16326,4
26394,16324,1
23305,16323,0
27973,6107,3
26050,16325,0
26394,16333,2
27984,14999,1
24818,12645,1
27983,16323,0
8005,16339,0
381,16348,2
26243,16348,1
20492,16348,1
21024,16361,5
26243,16347,2
8830,16363,3
28031,16363,1
23305,16371,3
924,16371,1
28034,6232,0
28034,527,0
20907,16325,1
28040,15328,1
26394,16347,1
25934,16370,0
25800,16380,1
27632,16380,0
381,16395,0
9123,16395,1
28086,16399,2
924,16389,3
28092,10541,-1
28086,6107,-1
27983,16395,-1
27992,9915,1
28129,16416,4
28127,6084,1
28129,16411,4
21608,16422,-2
21608,16424,2
28086,16422,2
21608,16428,0
28161,997,0
26243,16370,2
25800,16349,1
27741,16179,0
26562,16444,5
9123,16448,1
8792,16179,0
27989,16448,0
27989,14181,2
17020,16446,1
17020,16163,1
28209,16433,0
28209,16280,3
19046,16463,0
26562,16463,8
28222,13490,12
28129,16422,5
15527,16441,1
15527,16357,2
8560,16480,0
28129,16472,3
21,16485,1
12903,16363,2
21608,16488,2
27989,16490,0
28234,16475,1
5380,16374,4
24215,16494,1
1077,16404,1
16853,16346,2
28228,16346,1
21775,12974,0
25800,16514,0
28285,12366,0
21608,10612,-1
16853,16510,2
27943,15457,3
27432,16525,1
19161,16511,3
14675,16529,5
12515,16510,0
15527,16510,3
21433,15322,1
25800,9131,0
924,16532,6
21749,16546,1
28328,16542,1
23380,16542,0
836,16553,1
27551,16513,1
16590,16545,5
26394,16558,1
20492,16563,4
15527,16546,1
26394,16560,2
2576,16542,0
2576,16511,1
15412,16570,2
16853,16464,2
8152,14264,0
843,694,0
2454,14289,0
14372,16586,2
28328,16580,0
25800,16599,2
836,16601,7
28194,15589,0
28384,16586,1
28384,16553,0
19014,16609,4
21024,16587,0
836,16620,7
23144,16625,0
13891,16624,2
26243,16624,4
9053,14527,0
8560,13175,2
8560,16622,1
924,16616,3
27906,16379,0
836,16639,3
21608,16640,1
21608,16646,2
28482,16620,2
25157,16569,1
28488,16616,1
21608,16653,0
21608,16653,-1
14906,16346,1
23305,16644,1
17020,16349,0
26243,16653,1
25504,16666,1
28456,6355,0
26019,16658,1
21608,16676,2
836,15485,1
8005,16678,0
28528,15135,1
25571,155,1
17290,16616,1
471,16684,0
20800,16689,0
23305,16689,3
9123,16693,0
17640,16693,1
14675,13295,1
21232,16699,4
17290,16700,5
23305,16693,0
28581,16708,0
20492,16708,2
28587,13990,1
21608,16713,2
836,16717,3
17208,14998,0
17208,16706,1
28611,9832,1
28586,16729,1
28586,14251,1
28628,16099,0
28628,16736,2
28628,16692,3
28628,16446,3
836,16729,2
28628,16548,0
28628,11332,1
28367,16585,0
28628,16746,1
26243,16728,0
28628,14812,3
28628,16751,1
4770,16754,1
836,16757,1
28628,13750,0
9616,16127,2
471,16773,1
28628,16773,1
21608,16767,2
28628,16705,4
28628,11843,1
28677,10278,0
23204,11745,2
8152,16124,0
28628,16783,0
26907,16783,0
12384,16770,1
26243,16791,7
15527,16769,2
924,16790,1
28714,13754,0
14372,13754,1
28628,12645,10
16853,16800,4
21195,12645,2
28628,16789,0
28714,16800,0
14675,16805,1
9123,16643,3
28628,16797,6
8820,16807,3
27250,16807,13
14675,16805,0
15685,16815,3
27704,16819,1
27432,16825,0
8820,16826,1
28750,12865,0
28628,16826,1
14675,16831,1
28628,16831,0
25755,15670,1
11097,16843,1
17003,16843,1
8560,16840,2
26243,16848,1
28628,16848,0
28628,16850,-1
8005,16839,2
9123,16850,2
28807,13185,5
14675,16857,4
8005,16840,1
28820,12124,0
26243,16864,0
8560,16860,6
8560,16805,1
28849,13818,0
28014,16873,0
27107,16871,1
836,16881,6
28628,16252,1
21749,16889,3
26243,16893,2
16971,16889,1
8560,16159,0
23614,16889,1
14675,16890,8
27250,16904,6
28628,16904,14
12202,16902,0
860,16911,3
26243,16900,0
26243,16916,1
28922,15699,1
28924,13188,1
18540,16904,5
21608,16922,3
19161,16930,3
26243,16940,2
28965,10459,12
28966,16817,0
28922,16939,1
28628,16948,1
28628,16953,0
836,16961,0
28628,9325,-1
27873,6435,1
23144,16965,0
13232,9456,1
24240,16959,0
924,16959,0
2961,16976,2
18626,16961,1
29010,10338,1
9123,16991,0
836,16985,1
29025,14568,0
29025,9325,0
29026,16995,0
14310,16999,1
26024,16928,0
29054,15110,5
26243,17013,2
8752,16869,0
26243,17017,0
14310,16918,1
29083,16399,7
28628,17027,0
14310,15885,2
29083,17024,9
29086,17027,1
25759,17036,0
26394,17036,0
28628,16984,0
28628,17040,1
17959,17041,0
8005,17041,2
17208,17033,2
26394,17047,2
8792,17041,0
13727,17052,1
471,17055,4
28628,17057,1
10620,16649,1
15527,17049,0
28628,17064,6
15711,17066,1
26562,17074,1
26562,17031,5
13727,17072,4
29223,15328,8
29217,17083,1
15527,17095,0
8560,17079,2
29249,334,0
28922,17079,0
28628,17080,1
28628,17095,2
28628,17110,1
28011,15313,0
17208,17113,0
26562,17119,2
9123,17124,0
9123,17118,1
27250,17125,0
28628,17126,0
836,17128,3
8878,17114,0
17208,17072,2
17208,17116,1
29083,17099,11
10169,17096,4
18665,14883,2
19161,17143,0
18540,17135,8
15620,17140,3
29340,17151,0
24593,17157,1
29362,17121,0
28628,17158,1
12280,17169,2
12280,16488,1
16915,16640,1
12280,17147,1
16915,15965,0
12280,16558,0
12280,919,0
21,17169,1
29365,17165,1
29392,15296,2
836,17181,1
13727,17186,2
29408,17187,0
836,17189,1
29412,14991,1
29412,16991,0
29419,16535,0
28628,17193,7
28628,17207,3
12384,17168,4
28938,16959,0
12384,17157,6
28628,17213,0
28628,11868,1
29435,17187,1
14675,17219,1
21749,17216,1
24593,17223,0
28628,17220,0
471,17220,0
29169,17230,0
28628,17233,0
9123,17235,1
26243,17237,2
29461,13058,0
924,17216,4
29457,17244,-1
12384,14788,1
12384,16613,1
28780,17220,1
836,17241,7
13727,5292,1
5143,17244,2
29335,17151,0
29479,17237,0
4855,17258,0
17208,17258,2
29353,17156,1
16220,17258,1
924,17227,1
28628,14179,0
12792,14905,0
29217,17258,0
17696,16587,1
29513,17283,0
19161,17283,3
836,17287,3
15620,17281,2
25867,17281,2
28628,17282,9
108,17274,1
13727,17294,1
29365,17181,1
12384,17303,1
28272,17286,0
15620,17309,1
6403,17263,3
29556,2368,0
8560,17324,5
29576,155,2
676,17324,4
29435,17328,0
29582,17322,3
14904,17328,3
14372,17322,1
29582,17321,1
29587,17324,3
29456,2368,0
4647,17341,2
8560,17276,4
29534,17335,2
27562,11454,1
8560,9699,1
8560,13120,2
29587,17328,-1
29587,17333,0
9123,17352,2
24000,17288,3
471,17333,4
8262,16584,0
28628,17362,2
836,17364,4
19214,17178,-1
29616,17358,-1
924,17368,3
24412,17317,1
15620,14222,0
29685,17308,2
27632,14676,1
29690,17021,3
29692,17380,2
29692,17308,0
15685,17375,1
27632,17401,1
13727,17402,2
13382,14964,1
29714,10545,1
29714,10615,2
24158,17391,0
14904,17421,2
14904,17416,2
1077,17328,-1
836,17415,3
25507,8909,1
23305,17433,2
9123,17433,2
29744,16935,1
29746,9767,1
836,17436,2
29749,17414,2
13821,15135,4
836,17444,5
15480,17444,1
1077,13304,3
28628,17452,0
28628,17455,1
29587,17455,2
29788,17461,3
29799,17455,0
29801,15387,1
381,17470,3
676,17463,1
23305,17370,2
10620,17370,2
28694,17458,0
28628,17485,1
28628,16413,1
28129,17491,2
2576,17494,0
29799,17485,0
21024,17447,0
2454,17447,0
23240,17485,0
29587,17501,0
29587,17504,0
9197,17510,1
836,17516,4
19014,17507,2
924,17507,1
28628,17525,3
28628,17522,1
28628,17513,2
28628,17500,0
29896,17536,6
29905,17533,1
26562,14530,1
21024,17548,5
29916,5706,1
29915,406,0
29905,17460,0
29905,17427,1
29922,13249,-1
29897,17540,2
29905,17555,1
8820,17539,1
836,17550,2
29399,17518,1
29949,761,0
29953,17461,0
13727,17572,2
29960,17574,3
378,8457,4
29723,17578,1
676,17582,1
29723,17427,0
29723,17536,0
15527,17589,0
28628,17578,5
29987,17431,1
676,17598,9
836,17598,13
29534,17583,1
28129,17604,1
28129,17592,1
28129,17567,1
29878,15553,0
29587,17616,5
29587,17621,1
28295,17624,0
29905,17626,2
30038,17630,1
27396,17628,1
29746,11930,0
30043,16817,2
30048,17635,2
17208,17635,1
28628,17636,1
28628,17594,1
13727,17645,5
30036,17631,1
28628,17638,2
28628,17620,2
26643,17559,5
836,17655,2
29931,17565,0
30071,15094,1
29723,17654,2
836,17664,0
28129,17654,2
29931,17671,0
9867,17673,1
28628,17678,0
836,17677,1
695,17681,2
30147,13504,0
10824,17698,1
30166,17578,0
27704,17671,3
676,17710,2
13413,17711,0
25905,17709,2
15412,17710,0
471,17698,1
23305,17718,2
23240,13672,0
30189,11430,0
17696,17719,0
30006,17640,0
13727,17724,0
28129,17727,0
13727,17721,1
22000,17727,0
28482,11928,1
22000,17733,0
30212,17721,3
30212,13672,0
30212,17695,0
30212,17374,0
14675,17737,2
23773,17645,0
23773,17727,0
30179,16895,1
27704,17737,3
18513,17507,1
17240,16454,1
10904,17755,0
10904,17469,1
14310,16205,1
30240,17759,0
14310,17629,0
28628,17759,1
21024,17629,0
29788,10025,1
28628,17769,0
15412,17769,1
14310,16184,3
19161,17773,2
26675,17781,0
9257,17777,1
8560,17781,0
19014,17773,1
2742,17675,1
381,17675,0
9123,17791,3
29788,17350,3
29960,17794,4
25217,12697,2
30240,17793,0
30240,17799,0
28129,17793,1
28129,17799,1
30212,17800,1
14675,17809,1
24895,17802,1
19161,17814,0
29217,17787,1
8560,17783,2
8560,16902,1
21433,17783,1
29353,17822,0
12408,17809,0
23305,17809,1
30107,17830,2
8560,17755,3
21024,14761,1
19275,13212,1
836,17839,3
10169,17532,1
30325,17822,0
30212,17810,1
381,17850,0
29714,17407,2
17290,17837,1
18626,17860,2
28337,17867,1
30107,17854,1
30385,17862,3
30385,17873,1
17696,17873,3
24895,17888,2
8560,17857,4
30370,17868,0
8560,17859,0
17696,17755,0
30043,17876,1
19275,2368,0
30210,17872,1
11007,17899,0
30212,17903,1
30425,13216,14
29217,17896,1
29587,17910,1
29587,16640,2
8149,17865,1
18843,17917,6
29788,17911,4
836,17916,1
30459,11912,2
29587,17927,-1
29353,17927,-1
29788,17927,4
29587,17931,1
29587,17925,0
26394,17923,2
29587,17942,1
30408,17934,2
29788,17941,2
13727,17917,1
30527,10228,3
30520,17755,1
30240,17956,0
29587,17956,5
18513,17953,2
23581,17964,1
30212,17961,2
30173,17713,1
20372,17314,12
30212,17947,1
18513,2466,1
30542,9731,1
15620,17947,0
15620,17970,1
30408,17977,3
30408,17968,1
30567,17988,2
30575,9785,3
30578,14428,0
29960,17991,1
30107,18000,0
8560,18001,3
29587,18001,0
25915,17988,1
24593,17999,2
26394,17996,1
23708,18014,1
30623,18013,1
2961,18018,5
6448,17980,0
30212,18025,1
30212,18017,2
29587,18025,1
30212,18012,1
29793,18025,0
29173,155,1
26444,18036,0
29587,18017,1
30212,18036,0
924,17997,1
924,17991,2
25481,16350,2
6550,17014,0
13727,18056,3
30252,17522,0
9123,18045,3
836,18062,1
28129,18067,0
9123,18067,0
378,16835,6
12919,18066,1
17696,18066,1
29217,18045,1
30408,18071,2
21232,18082,1
30538,18079,5
30635,18089,1
15620,18086,3
11113,18080,0
7763,18093,1
836,18088,1
28129,18088,3
9123,18101,2
836,18103,3
30637,18082,0
18516,17819,0
8560,17910,3
8560,18075,1
30107,18064,0
30408,18100,0
22065,18042,0
30408,18119,0
9123,18123,4
30781,18123,0
30788,11485,-1
30624,18132,0
12202,18132,1
30408,18134,0
24895,18134,0
14675,17021,4
30810,17986,2
30810,17987,3
30810,18048,0
30810,18081,4
836,18143,2
30818,14676,1
30408,18140,1
836,18093,5
8820,18158,4
30212,18141,3
16853,18056,2
16853,18066,4
8560,18156,3
836,18152,2
30846,13026,0
8878,18167,3
28129,13750,0
28129,13706,2
381,18187,0
30408,18177,1
381,18191,1
26394,18177,0
30812,14838,1
29960,18177,0
30890,17216,6
30538,18202,-2
836,18206,0
30408,18199,2
14003,18208,1
14003,11186,2
30408,18221,1
14003,17254,0
14003,18217,1
28743,18226,1
30935,17504,1
30935,18224,-1
9123,18224,0
26394,18236,2
30928,12851,1
29644,18236,1
30408,18250,0
11097,18258,10
30982,18258,4
30624,18218,2
29217,18180,1
30624,18180,1
9123,18264,2
30810,17279,1
29217,18271,1
30624,18280,3
31021,16888,0
836,18286,1
15885,18280,3
14588,16888,1
30107,18292,1
14003,15583,1
26814,18280,0
18055,14677,1
31047,16455,1
19161,18280,2
31046,18289,3
31052,18308,2
31052,18303,2
8820,18289,2
5055,18313,1
8820,18286,1
26814,18262,0
15361,18303,2
15946,18324,3
30635,18268,0
30212,18325,1
30212,18300,0
30982,18325,1
30982,18318,2
5055,18317,1
31089,18331,0
19161,18331,1
5055,18279,2
30212,18295,3
31046,18325,0
31102,6345,1
2576,18339,5
836,18339,4
5055,18349,2
5055,18360,0
2840,12799,5
2840,18295,0
15361,18368,0
9123,18374,3
30507,10745,6
5055,18381,1
6518,17294,2
29582,18384,0
31154,15094,1
15946,18390,1
31187,6854,0
17696,18396,3
9123,18403,2
8820,18396,-1
27768,18403,0
30408,18390,2
8820,18414,7
836,18416,7
16538,18418,2
31152,17430,0
836,18433,3
31275,18283,0
8560,18427,3
31282,18432,2
31282,18437,4
31293,18416,0
26814,18447,3
31311,17728,2
2975,18451,1
29217,18450,0
19161,18462,0
30928,18465,1
8560,18468,0
8560,18456,0
15946,18475,3
30212,18478,3
30212,18481,0
29587,18481,1
31384,10228,2
15620,12910,0
10620,18450,1
17177,18488,0
31399,6052,1
19161,18495,0
31346,18478,0
31409,17382,0
31364,18477,0
836,18487,2
29217,18506,1
31434,15707,1
31434,17501,1
31434,18506,0
17,18515,1
31346,18488,-4
31446,18518,1
15412,18518,0
30107,18516,1
10517,18522,3
31434,12964,0
30048,18518,0
31446,18535,0
15361,16448,0
31488,17885,0
18465,18539,1
9123,17125,1
9123,18550,0
8560,18557,2
31513,16958,0
8560,18566,2
26856,18550,0
29788,18556,0
29788,18572,2
14904,18578,0
31564,17972,0
29534,18558,0
27983,18581,2
29534,18577,0
30928,18583,12
16538,18588,1
27983,18588,0
14152,18578,0
2511,17641,1
16538,18597,2
23305,18597,1
29788,18562,2
9420,18597,2
27873,18595,1
836,18605,0
31600,18609,1
27873,18614,-1
31618,18614,1
24724,17776,0
31627,6838,0
31627,12281,0
16538,18623,1
28556,18626,5
9388,11025,0
19161,18554,1
31663,14291,1
27873,18618,2
19161,18642,1
31627,18642,1
12515,18641,2
31151,6798,5
30099,758,2
30986,11619,10
27873,12528,1
31399,18494,0
30675,18663,2
8820,18626,6
381,18676,1
30107,18684,0
8560,18668,3
31722,18684,0
31775,17506,1
31775,12017,0
31154,17854,2
31785,18442,0
30212,18679,1
836,18695,3
836,18712,0
29217,18713,2
836,18713,1
31723,18674,1
26917,18689,0
31846,13490,22
2932,16994,2
29217,15923,0
836,16027,1
381,18687,1
10556,6165,0
31889,11930,1
31245,18731,0
5041,17648,1
30982,18742,0
30982,18731,-1
27983,18746,2
29217,18748,0
381,18755,0
30212,18755,0
29208,18670,2
23204,18760,1
23204,18754,1
23204,18715,2
836,18762,1
10345,16309,1
21,18770,2
21608,18769,1
8005,18719,0
14904,18764,3
31975,18690,2
31977,11485,1
31627,18783,0
7714,18788,2
836,18797,1
836,18802,2
30107,18780,2
9085,18804,4
13727,18782,3
32012,18810,5
9085,18778,0
30928,18814,1
381,18818,4
32045,16342,7
27983,18817,0
3077,18817,2
3077,18782,1
29217,18831,0
14675,18828,0
836,18836,5
8560,18828,0
32045,18844,0
32045,18830,0
14904,18839,2
18369,11159,0
30212,18856,1
32104,17885,2
836,17650,0
9584,18860,4
17290,18750,0
30928,18871,1
32119,16699,0
32119,12797,0
31513,12129,1
32119,13066,1
9085,18866,2
29587,18489,2
32119,13948,0
30212,18890,0
30212,18887,1
9497,18629,0
32119,18880,0
13727,18822,0
14904,18898,2
31513,761,2
31513,17500,1
30107,18904,0
11007,18904,0
843,18907,5
16538,8983,3
10345,18911,0
836,18912,3
31513,18915,2
14904,18920,2
32177,18913,1
924,18760,1
14904,18919,3
32189,12575,2
30212,18931,0
9123,18920,4
9123,18935,0
15412,18944,1
23581,18942,0
836,18940,3
32215,5178,1
32215,758,2
32215,14998,0
32230,18956,2
31245,18953,0
31245,18952,0
30107,18970,1
14904,18972,0
30212,18976,0
836,18968,2
26562,18984,2
32292,18848,-1
15412,18996,4
20524,18970,0
30212,19002,0
30212,18989,0
32307,19002,0
12241,18991,1
30212,19005,0
836,19005,0
7829,17791,4
32189,4836,1
381,18983,2
836,19020,3
31513,18822,1
29587,19029,2
30212,19035,1
836,19010,2
31513,12851,2
31513,13073,0
924,19042,3
32377,11047,0
14633,19044,0
23305,19048,5
19161,19048,4
30212,19051,2
29801,4967,0
32177,19054,0
8792,18828,0
32393,19007,0
30928,19054,2
31822,19035,1
24651,18933,0
31446,17540,1
836,19072,0
31822,19077,1
32417,18828,1
836,19077,3
30212,19081,1
8560,19062,3
8560,17036,0
31822,19081,1
836,19099,4
14675,19040,2
17696,19105,0
9123,19112,7
17208,19112,5
17208,19102,1
30928,19116,1
32511,19108,0
381,19125,0
32433,19087,0
8370,19138,2
8370,19143,1
14904,19146,2
32584,19153,1
30212,19150,0
32587,19163,0
17696,19124,0
32554,19150,1
14675,19170,7
8878,19137,1
14675,17134,-1
21608,19155,0
32177,19170,1
21608,19167,1
17208,19131,1
381,19174,5
32627,19140,2
20945,19187,0
20374,18991,1
30212,19191,0
30212,19168,0
31216,19202,1
32660,19202,0
32664,14466,0
32650,18577,3
29587,19211,3
8560,19186,4
31434,19207,0
381,19223,6
31822,9131,0
32164,19227,0
30212,19184,1
8370,18938,2
10169,19119,1
30928,19220,0
29587,19220,3
32177,17868,0
29587,17868,1
32697,19107,1
31434,17286,0
31434,12649,1
381,19243,3
8560,19199,2
20492,19227,0
32711,12956,8
695,19250,1
32723,19197,2
31245,19247,1
30212,19256,0
32697,19254,2
31216,19256,0
9123,19259,1
924,19172,1
31434,19196,7
31434,18013,2
14904,19273,1
28337,19276,2
32749,19019,1
32686,19223,2
31434,19280,6
27250,9945,0
695,19280,4
32764,17230,2
8560,19284,1
8560,19268,0
9053,19280,0
16024,19107,2
836,19302,2
32793,19162,1
32764,19305,1
32764,19290,1
32686,19276,2
17290,19108,1
32806,19301,2
17290,19293,0
32805,19301,2
32805,19283,1
28337,10523,0
32816,19317,1
32686,19127,1
8370,19283,1
32664,19319,0
14675,19323,1
14675,19283,1
30212,19329,0
836,19272,6
20517,6744,0
32429,19308,0
30212,19341,1
20517,19271,2
32805,19268,0
32686,19349,0
30048,19348,0
18434,16306,4
32805,19349,0
14675,19352,1
14675,19357,5
14904,19359,1
32872,10932,6
8517,19348,0
32873,18903,7
14904,19365,2
14904,19367,1
3044,19220,6
32877,9036,1
836,19378,2
17122,14368,1
14904,19380,1
836,19385,0
30212,14864,0
16024,19391,1
29587,19392,3
14904,19397,1
2932,19365,4
32926,19400,1
21433,19396,0
29575,19406,1
32946,17514,3
32686,19390,0
29217,19402,0
836,19407,0
32848,19305,0
32926,19395,1
8370,19405,3
30928,19425,0
32686,19430,1
381,19430,3
26562,19436,1
23305,19438,3
924,19443,1
14904,19439,0
555,19452,7
14904,19455,3
30578,19141,1
30578,19456,3
836,19462,1
30212,19429,1
14372,19465,0
14904,19471,0
32230,19466,2
2932,19478,1
2932,19482,4
30212,19479,4
30212,19477,1
24593,19449,0
29575,19476,2
32130,19471,0
27265,8358,0
29217,19427,0
33091,19097,0
33092,4977,0
16024,19481,1
26700,12500,3
26700,16088,1
33095,19499,1
14675,19504,3
12473,19427,0
33106,15393,0
2932,19493,1
1077,19343,1
17177,19432,3
29575,19514,1
23380,19523,4
30212,19527,0
17208,19523,4
30212,19536,1
23305,19538,2
381,19543,0
17177,19545,0
17177,19546,0
4881,19493,1
17177,16762,1
924,19530,1
17290,19536,0
26700,15733,1
108,19558,0
32230,19555,0
14675,19557,1
33202,12775,2
23305,19322,1
12515,16762,1
381,19562,2
32686,19575,0
33020,19575,0
836,19578,2
33226,19584,2
33226,19571,0
14675,19586,3
14904,19591,1
32230,19591,2
14675,19595,1
14560,19589,0
33020,19602,2
33020,19606,1
22012,14581,5
836,19620,3
30928,19625,2
30036,19620,0
31245,19626,4
33237,19631,1
8370,19638,2
30048,19605,0
14675,19643,1
30335,19649,1
924,19648,3
2932,19605,4
12515,19653,4
33326,19381,0
18843,19611,2
33333,18854,0
108,19670,0
2932,19671,2
33353,19648,3
33353,19679,5
33368,19129,1
32686,19687,2
836,19692,5
32164,19641,1
32164,19682,1
33390,19682,2
26899,19689,2
26899,19615,1
26899,19583,0
836,19700,6
33020,19707,1
33353,19699,0
11007,19707,2
2932,19714,5
33353,19517,0
26899,19711,2
2932,18368,1
12515,19714,2
12515,19685,2
12515,19711,3
26444,19726,1
33407,19681,1
33407,19240,0
32805,19732,1
14675,19735,0
29217,19737,3
1289,19653,2
33429,11404,2
14675,19742,1
33188,19615,0
33353,19748,0
29217,19748,0
14560,19748,0
33447,711,3
23305,19755,3
23305,19768,1
33453,19758,2
836,19770,5
31822,10557,0
31822,19755,0
33447,19782,0
32230,19786,1
358,18258,3
32686,17430,1
13727,19612,2
27114,19798,2
27114,19612,5
33202,19630,4
33530,19805,1
358,19814,2
26444,19814,0
33538,19797,1
33540,11751,1
16212,19819,0
33551,19809,2
836,19819,1
8878,19794,0
1257,4944,0
33567,5226,1
8370,19612,2
33478,19814,0
5233,14998,0
33584,17070,1
8370,19790,4
33598,19844,3
28685,19849,2
19046,19850,4
33612,14331,0
32440,19858,4
7939,19847,0
836,19860,1
33603,19858,1
23708,19853,1
33598,19869,6
30928,19857,1
33646,19870,1
30212,19872,3
33658,19858,0
33663,17479,0
17696,19874,3
836,19874,7
29575,19888,1
33689,15328,0
33603,19897,1
30381,19893,2
33693,19897,0
30519,16948,0
33701,19908,0
33701,19858,0
33603,19911,2
33713,14142,0
25454,19892,0
33646,19911,3
32440,19854,0
23305,19865,3
12515,19896,2
8904,19893,0
33701,19925,3
381,19163,0
108,19901,4
33272,19858,0
33646,17114,0
32429,19882,1
23305,19940,0
33781,19943,5
33781,16045,1
17696,19167,0
33811,13438,1
33812,19951,2
33812,19947,0
33825,18820,1
33258,223,1
31188,11930,1
15412,19965,1
27983,19964,0
33841,11220,0
836,19971,6
33854,989,3
6391,19977,4
24593,19980,3
33781,19983,1
33878,19972,1
836,19951,2
14904,19990,1
8370,19991,2
30212,19995,2
33738,19869,1
924,19991,2
33852,20001,0
31822,19995,3
33877,19987,0
32906,8775,0
15496,18528,0
33955,20006,0
33967,20026,-1
33934,19933,2
8041,20036,1
33287,20031,1
33603,19933,2
836,20024,4
24593,20031,0
33934,19713,0
33603,20025,1
30538,20030,0
30212,20052,-1
30212,20045,0
34006,20061,0
6648,20013,1
31093,20064,0
30212,20064,1
21608,20076,5
33540,20075,2
33970,20071,2
30212,20077,2
30212,20086,0
836,20087,1
33934,17471,1
34083,5443,1
30212,20102,1
31736,20100,3
15847,10025,1
8214,20105,0
